!GO Term	EGF_Baseline	EGF_Stumulus
GO:0055114	-1.32	-1.34
GO:0048477	-0.79	-0.56
GO:0022008	0.78	1.20
GO:0032321	-0.54	0.96
GO:0016747	-0.58	-1.06
GO:0042578	-1.73	0.57
GO:0034227	0.60	0.84
GO:0071805	-0.52	-1.14
GO:0035103	0.51	0.78
GO:0051603	-1.80	1.09
GO:0044208	1.10	0.50
GO:0048813	0.54	-0.89
GO:0051101	-2.13	-4.16
GO:0007010	-0.82	-1.18
GO:0046952	0.42	-0.23
GO:0048085	-1.86	0.69
GO:0060429	-1.01	1.16
GO:0001056	-0.39	0.69
GO:0004252	-0.70	1.31
GO:0008150	-0.47	0.13
GO:0005615	-0.57	0.32
GO:0016757	0.69	-0.52
GO:0007476	0.76	1.47
GO:0045475	-2.34	-1.98
GO:0006508	1.49	0.31
GO:0007476	-2.21	1.34
GO:0008150	0.70	-1.06
GO:0016021	-0.42	1.46
GO:0008150	-1.32	0.83
GO:0048813	-0.91	0.54
GO:0016787	1.12	-1.32
GO:0005509	-1.03	-0.31
GO:0070491	-0.33	0.24
GO:0051297	0.90	1.63
GO:0050790	-0.25	-0.62
GO:0016021	-0.68	0.40
GO:0055114	0.62	0.50
GO:0055085	-1.55	-0.26
GO:0035002	1.14	2.12
GO:0055114	-0.76	-1.34
GO:2000331	1.12	0.80
GO:0035725	-0.38	-0.30
GO:0030198	1.21	-0.47
GO:0022008	1.27	-0.16
GO:0046872	0.07	1.05
GO:0042600	1.16	0.39
GO:0005856	0.79	-0.64
GO:0008152	0.40	1.57
GO:0008152	-0.99	-0.37
GO:0008152	-0.55	0.67
GO:0045087	-0.45	1.14
GO:0008150	1.84	1.43
GO:0043695	-1.09	-0.55
GO:0072347	0.52	0.59
GO:0030951	0.45	-0.56
GO:0016021	-1.25	-0.08
GO:0035149	-0.51	0.28
GO:0016787	0.26	1.31
GO:0071013	-0.25	-0.72
GO:0071011	-1.79	-2.20
GO:0055114	-0.85	1.34
GO:0008150	-1.63	-1.64
GO:0008150	0.20	0.46
GO:0031430	-1.67	1.44
GO:0030955	0.24	-1.14
GO:0051205	0.28	0.64
GO:0016787	0.41	0.64
GO:0006184	-0.80	1.11
GO:0016021	-0.80	-0.47
GO:0070008	-2.01	0.32
GO:0055114	1.20	0.65
GO:0051124	1.29	1.28
GO:0045165	-1.14	-1.43
GO:0008152	0.88	-0.80
GO:0043565	0.40	-0.48
GO:0046872	-0.81	-1.13
GO:0052689	-0.29	0.99
GO:0005771	0.15	-1.73
GO:0055114	-0.78	-1.95
GO:0006508	0.29	0.93
GO:0004252	-0.75	0.11
GO:0035220	0.99	0.46
GO:0046961	-0.56	0.43
GO:0060052	2.73	-1.83
GO:0035235	0.74	0.12
GO:0006096	1.45	-1.53
GO:0008278	-0.48	1.32
GO:0030246	0.75	1.16
GO:0005681	0.34	1.31
GO:0035049	-0.68	-0.68
GO:0046331	0.97	0.43
GO:0016787	0.75	0.25
GO:0008150	0.85	1.91
GO:0055114	1.41	0.55
GO:0008270	-0.86	-0.65
GO:0045747	-0.21	0.46
GO:0016021	0.98	0.34
GO:0055085	-1.81	1.20
GO:0055114	1.09	-1.57
GO:0019509	-1.98	0.93
GO:0045211	-1.04	0.58
GO:0007606	-1.18	0.90
GO:0008152	-0.71	1.41
GO:0008270	-0.10	-0.97
GO:0046872	-0.02	-0.35
GO:0051082	-0.39	-0.47
GO:0042255	0.80	-1.32
GO:0008270	-1.10	-0.94
GO:0006470	0.67	1.01
GO:0035327	2.30	-0.28
GO:0046872	-0.74	-1.03
GO:0043060	-0.63	0.72
GO:0032027	-1.89	-0.95
GO:0046580	-1.79	0.52
GO:0043086	0.88	0.70
GO:0042306	-1.79	-3.70
GO:0071805	-0.92	-0.24
GO:0051298	-1.19	-1.36
GO:0032504	-0.88	-0.27
GO:0033227	0.86	-0.10
GO:0016772	0.45	0.75
GO:0006810	1.25	0.59
GO:0008534	0.16	-1.03
GO:0050832	1.26	0.71
GO:0047326	-1.10	0.10
GO:0022008	-0.17	1.07
GO:0006508	0.56	0.97
GO:0005524	0.68	-0.80
GO:0008150	0.98	0.48
GO:0006508	-0.78	-0.58
GO:0060179	0.47	-0.52
GO:0005694	-0.70	1.09
GO:0008150	-1.94	-0.44
GO:0090502	-1.18	-0.26
GO:0035243	1.19	-1.23
GO:0055085	-1.59	0.68
GO:0060388	1.14	0.20
GO:0048280	0.32	-1.04
GO:0008150	-0.85	0.91
GO:0008150	1.44	0.31
GO:0008150	1.05	-1.08
GO:0072499	-1.47	-0.85
GO:0016082	-1.28	0.87
GO:0008270	-1.36	-1.33
GO:0009649	-1.91	-2.48
GO:0008150	0.89	0.77
GO:0008061	-0.32	1.28
GO:0008150	0.91	-0.68
GO:0031370	1.06	-0.82
GO:0022008	-1.27	-0.59
GO:0072347	0.28	0.40
GO:0008061	-0.24	0.22
GO:0030488	2.96	-1.20
GO:0016021	0.50	1.17
GO:0006807	0.55	-1.07
GO:0071772	-1.73	-1.10
GO:0016787	1.31	0.52
GO:0006431	-1.21	0.83
GO:0016281	1.42	-1.46
GO:0071013	0.50	1.61
GO:0045178	-0.71	0.64
GO:0046331	-0.92	0.33
GO:0016021	0.90	-0.90
GO:0016021	0.48	-0.93
GO:0016787	-0.90	-0.12
GO:0050773	-1.58	1.02
GO:0035218	-0.68	-1.12
GO:0016021	-0.75	-0.77
GO:0016321	0.95	0.97
GO:0035327	-0.70	-1.46
GO:0016740	0.07	-0.68
GO:0090307	0.87	0.46
GO:0008150	-0.81	-0.59
GO:0008150	-0.59	0.51
GO:0008150	-0.32	-0.56
GO:0022008	-0.62	-0.53
GO:0051726	-0.70	0.39
GO:0008152	-0.92	0.39
GO:1901840	-1.06	0.74
GO:0046939	-1.07	0.82
GO:0008150	0.50	0.45
GO:0046331	-1.18	-0.44
GO:0055114	0.26	-0.58
GO:0006468	0.82	1.17
GO:0055114	0.20	0.76
GO:0016791	0.53	0.62
GO:0061343	0.48	0.66
GO:0032259	-1.87	-1.11
GO:0004252	1.11	-0.32
GO:0071897	1.00	-1.14
GO:0005615	0.63	0.62
GO:0008150	-1.57	1.59
GO:0061572	1.12	0.99
GO:0003676	0.94	-1.54
GO:0048515	-1.46	-1.17
GO:0006657	-0.67	0.60
GO:0071819	-0.59	-0.62
GO:0031201	-1.48	-0.35
GO:0046664	-1.88	-0.57
GO:0008150	-0.84	-0.57
GO:0008150	-0.64	-0.37
GO:0005575	-1.96	-1.17
GO:0045823	0.81	0.93
GO:0016779	-1.47	1.07
GO:0008150	0.41	0.71
GO:0055114	1.76	-0.50
GO:0046872	-1.71	-0.44
GO:0007399	-0.63	-0.37
GO:0008234	-1.10	0.44
GO:0045297	-1.64	-0.22
GO:0048082	-1.49	1.11
GO:0016311	-0.58	0.65
GO:0071013	9.59	2.98
GO:0043052	-0.13	0.28
GO:0008150	-0.62	-1.30
GO:0046961	0.32	0.73
GO:0030177	1.28	-2.07
GO:0045930	-0.84	1.20
GO:0046872	-0.86	-0.35
GO:0048749	-0.82	0.95
GO:0007475	0.64	-0.43
GO:0016021	-1.20	0.80
GO:0043066	1.71	-1.57
GO:0005509	-0.68	-0.66
GO:0022008	-0.41	0.75
GO:0070883	1.54	0.55
GO:0016311	0.99	0.48
GO:0051491	1.43	-1.01
GO:0016250	-0.88	0.88
GO:0006937	4.29	-1.15
GO:0055114	-0.99	0.29
GO:0046331	-1.01	1.20
GO:0008124	-0.49	2.21
GO:0008150	1.46	-0.65
GO:0031167	0.69	1.25
GO:0005770	-0.99	-1.82
GO:0008150	1.18	1.37
GO:0031262	1.21	-0.93
GO:0055114	1.20	-0.59
GO:0008150	-0.94	-0.58
GO:0070990	0.93	0.91
GO:0071011	-1.63	-1.66
GO:0008150	-0.60	0.37
GO:0003713	1.97	2.13
GO:0016311	-0.55	-0.26
GO:0048227	1.54	0.87
GO:0070328	0.54	1.40
GO:0008150	-0.93	-1.26
GO:0055114	-1.35	1.13
GO:0047396	-1.29	-0.42
GO:0008152	0.78	-1.17
GO:0016021	0.78	1.02
GO:0048636	-0.61	0.39
GO:0046872	1.17	0.80
GO:0055114	-0.76	-0.63
GO:0046835	-0.28	-0.53
GO:0048813	1.04	-1.55
GO:0050912	0.58	0.31
GO:0006281	0.32	-1.48
GO:0006508	0.30	1.08
GO:0008150	0.39	0.74
GO:0022008	-2.26	-1.43
GO:0008150	-1.62	-0.55
GO:0048092	-1.58	-0.90
GO:0046982	-2.23	-1.00
GO:0005875	-1.69	0.17
GO:0071244	0.88	1.57
GO:0016758	-1.05	-1.24
GO:0005515	-1.70	0.39
GO:0016021	-0.27	1.09
GO:0055114	2.03	-0.50
GO:0055085	-0.29	0.73
GO:0046716	-0.68	1.24
GO:0098655	0.74	-0.54
GO:0034472	-0.75	-2.29
GO:0042594	-0.79	0.42
GO:0003755	-1.28	1.08
GO:0007165	-1.99	1.68
GO:0001054	0.58	0.97
GO:0048813	0.77	-0.14
GO:0008150	1.69	0.83
GO:0019706	-1.71	-1.33
GO:0071011	-0.57	0.28
GO:0045087	-1.37	1.06
GO:0008157	0.46	-0.41
GO:0046427	0.47	-0.27
GO:0071897	1.46	0.86
GO:0045211	-0.54	0.37
GO:0032504	0.20	0.46
GO:0017076	-0.36	1.21
GO:0005737	-2.11	2.01
GO:0051726	0.92	-0.14
GO:0060047	-1.20	0.76
GO:0016021	0.79	0.54
